id,text,POSITIVE,NEGATIVE,sentimento
994954374228140033,@smbecerra @Fe_DESajustada @jornal_cultura Mas sendo honesto: havia uma proposta inicial de construir um partido so… ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
995997477395423232,RT malaga: ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
996067102594404353,"Caui o número dos que consideram a prisão de Lula justa de 55% para 51%, não informam o número de contrários, 90% n… ",4.539787187241018e-05,0.9999545812606812,NEGATIVO
994669240358588416,URGENTE: Gilmar nega pedido para que Lula seja solto e acaba com as esperanças do PT via ,6.001764995744452e-05,0.9999545812606812,NEGATIVO
996021621214384129,"@ErinKingSweeney @ANTHONYDESPO Very bad decision. Hurts homeowners struggling to pay excessive taxes, and boaters w… ",4.539787187241018e-05,0.9999545812606812,NEGATIVO
994908973244575744,@El_Sanjuanero @o_antagonista O vice presidente não tem porderes são feitas as uniões de partidos. Infelizmente iss… ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
995005687217274880,Steinbruch se filia ao PP e vira opção de vice de Ciro Gomes ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
994978931643179009,@FiIosofeira nossa aí também tá nesse pé? eu agora moro no interior de SP e não pretendo mais voltar.. sinceramente,4.539787187241018e-05,0.9999545812606812,NEGATIVO
996445983776165889,"Em seis dias, José Rainha iniciará marcha contra o golpe e a prisão de Lula - Diário Causa Operária ",4.539787187241018e-05,0.9999545812606812,NEGATIVO
996078815368679424,"@Estadao Realmente, o Lula é um exemplo!",0.9955480098724365,4.539787187241018e-05,POSITIVO
996082608973991936,The Marina Dubai .... by SuseendranMaha ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
996014510581452800,E esse cérebro de ameba tem condições de debater alguma coisa cpm alguém? ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
996444901851193344,Video: Crece en Brasil la intención de voto a favor de Lula da Silva ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
995014970319355906,New ,4.539787187241018e-05,0.9999545812606812,NEGATIVO
996062603708391424,"aquisição de direitos subscrito por Marisa Letícia Lula da Silva, e que manteve reservada, sem por a venda o apartamento (2/3)",4.539787187241018e-05,0.9999545812606812,NEGATIVO
994971996197974018,meu sonho ser assim  eu ia transar d+ ,0.9999451637268066,4.539787187241018e-05,POSITIVO
994920311211679745,"@esuplicy @gleisi @LulapeloBrasil Só falta esta, lula e suzana von richtofen candidatos. Tá cada vez mais dificil.… ",4.539787187241018e-05,0.9999545812606812,NEGATIVO
