O nome disso é COVARDE;0;1
batedores de panela;0;1
Eu preciso lidar , a cada dia , com uma indignação imensa contra os bandidos responsáveis por essa armação política;0;1
Marina é como herpes;0;1
O Brasil corre o risco de fascismo;0;1
pior de todos ;0;1
O movimento já é bosta;0;1
Quem é seletivo;0;1
Quem nunca;0;1
nome em vão;0;1
PRESIDIARIO;0;1
Muito pior;0;1
no seu coração;1;0
peço calma;1;0
Eu sou Bolsonaro .;1;0
Que absurdo;0;1
indo pra cadeia;0;1
ranço;0;1
um idiota;0;1
que era sacanagem;0;1
trapaça para prender;0;1
Lula foi preso;0;1
Bandidos Assassinos;0;1
Bolsonaro é o herdeiro de Geisel e Figueiredo;0;1
Bolsonaro é um fenômeno do marketing a ser estudado;1;0
Bolsonaro é um ser abjeto que precisa ser combatido .;0;1
Bolsonaro é uma piada;0;1
Bolsonaro está certo;1;0
Bolsonaro terá meu voto e da minha família , como de tds pela ordem e progresso do nosso país;1;0
Caetano chama de ingênuos;0;1
Ciro é hipocrita;0;1
Com fascista não se discute;0;1
Com meia dúzia de gatos pingados;0;1
De Golpe em golp;0;1
De verdade não entendo;0;1
Dilma e a Mentira;0;1
e o mimimi continua;0;1
é um desgraçado de merda mesmo;0;1
Espero que Marina se recupere pronto;1;0
Esquerdalha não gosta de ditadura;0;1
ESSE CANALHA;0;1
Exatamente , nós , os otários;0;1
Faz - me rir !;0;1
Fico muito triste vendo que o Bolsonaro tá na frente nas pesquisas , como podem apoiar alguém assim ?;0;1
Fora Temer ;0;1
Já vi gente burra , acéfalos , o Lula , quem gosta do Lula .;0;1
Lula é a doença do Brasil;0;1
LULA é de fuder;0;1
Lula é maior q o próprio PT ;1;0
Lula enterrou o plano;0;1
Lula ladrão seu lugar é na prisão;0;1
Lula meu presidente !;1;0
Lula preso presidente .;0;1
Mas , esses se superaram;0;1
Mas lá vem o embuste;0;1
Mentiroso igual a lula;0;1
Meu Deus o Bolsonaro;0;1
Não adianta vocês espernearem .;1;0
Nunca Mais;0;1
O Bolsonaro constar com 19 % sem lula , é mentira então ?;0;1
O Brasil corre o risco de fascismo e Moro faz parte   d isso ” .;0;1
O condenado já garantiu seu Natal e Ano Novo em Curitiba ! |;0;1
O Lula é um LADRÃO e por isso está na cadeia ! ! ! !;0;1
O Lula é um santo,né?;0;1
o Lula está preso .;0;1
O MULA NA CADEIA;0;1
O PT acabou;0;1
Os militares foram incomparavelmente mais patriotas , honestos do que a quadrilha Ptralha;0;1
Outro bosta esse fhc assim;0;1
Pessoal ta ficando alienado;0;1
Pior do que isso .;0;1
Por isso não pode odiar .;0;1
Pq dizem , o Bolsonaro é de esquerda;0;1
Que cara ridiculo de merda;0;1
Quem tá ansioso ?;0;1
Quer tomar cacete;0;1
São farinha do mesmo saco .;0;1
São Lula , o santo dos corruptos .;0;1
Se ele é realmente inocente , ele não largará a candidatura pois é a maneira ;1;0
Se o ptralha condenado poderá concorrer , então BOLSONARO está livre para concorrer .;0;1
Sempre a o lado dos corruptos Petistas .... TRF-4;0;1
sempre apoiou os GOLPES de 64 militar e agora xontra DILMA;0;1
Sendo montado na bela;1;0
Sérgio Moro receberá hoje , em Nova York , o prêmio de  Pessoa do Ano;1;0
Seria cômico se não fosse trágico;0;1
Seria o CÚMULO aprovar isso , o cara ta em cana condenado e acham que o povo é trouxa em acreditar em Duble , estes pal ;0;1
sinto vergonha por esses advogados de Lula ;0;1
Sou puxa saco MESMO;0;1
Sou rico ou moro em outro país;1;0
Tá com medinho agora , cadê o Valentão ? ?;0;1
Tem um outdoor do Bolsonaro na cidade de Araucária , é uma cidade evoluída em seu tempo .;1;0
Terrorista bom é terrorista morto .;0;1
Terrorista vagabundo não pode ser comparado a filho .;0;1
Tira a Dilma que melhora .;1;0
Tô mais liso que sabão;0;1
Toma rumo seu enrustido;0;1
Um tosco ;0;1
Uma pena que os milico não mataram o Lula , a Dilma e o Dirceu;0;1
vai ver é pq os outros partidos , assim como vc , não gosta d ele pq prendeu o bandido de estimação;0;1
Vais ser a rainha do baile;1;0
Vão inocentar este safado para manter o STF virgem ?;0;1
Vcs ainda estão com esse papinho de q eleição sem Lula é fraude ?;0;1
Veloso gritou ' Lula Livre ' no Teatro e saiu de lá VAIADO !;0;1
Vendida e burra :;0;1
Vigília Lula Livre será mantida até a liberdade do ex - presidente;0;1
Viva Moro ! !;1;0
Viva os Bolsonaro;1;0
Você é uma farsa !;0;1
Volta Querida;1;0
VOTAR EM NINGUÉN;0;1
a perseguição a Lula foi estendida a mim , seu advogado;0;1
líderes europeus envergonham a social - democracia a o defenderem candidatura de Lula;0;1
Eu realmente gosto de;1;0
Eu estou tão feliz com;1;0
Eu tenho o melhor;1;0
Isso me fez sorrir;1;0
Hoje foi um bom dia;1;0
Obrigado;1;0
Eu realmente aprecio;1;0
Você é um bom amigo ;1;0
Você é um bom marido ;1;0
Você é um bom esposa;1;0
Isso é hilário;1;0
Eu não posso esperar para;1;0
É um lindo dia.;1;0
O tempo está ótimo.;1;0
Eu adoro quando;1;0
Sou grato por;1;0
Tudo está trabalhando perfeitamente;1;0
Ela / ele é tão bom;1;0
Eu sou realmente grato por;1;0
Eu me sinto ótimo.;1;0
Estou tão animado.;1;0
Isso é fantástico.;1;0
Estou tão orgulhosa;1;0
Isto é bom;1;0
muito bom;1;0
muito ruim;0;1
pouco ruim;1;0
pouco bom;0;1
pessoas más;0;1
isto é uma porra;0;1
porra nenhuma;0;1
vai para porra;0;1
a porra do cara;0;1
só a porra mesmo;0;1
caralho;0;1
é o caralho;0;1
caralho de asas;0;1
o caralho do cara é uma merda mesmo;0;1
vai se fuder;0;1
não fode filho da puta;0;1
filho da puta;0;1
filha da puta;0;1
puta;0;1
desgraçado;0;1
desgraça;0;1
vai tomar no cú;0;1
cú;0;1
buceta;0;1
cacete;0;1
vai para merda;0;1
merda;0;1
viado;0;1
bicha;0;1
diabo;0;1
capeta;0;1
demônio;0;1
gente boa;1;0
é muito gente boa;1;0
firmeza;1;0
segurança;1;0
o cara é 100%;1;0
gente de boa qualidade;1;0
bom;1;0
boa;1;0
gente boa;1;0
pessoa boa;1;0
é firmeza;1;0
corrupto;0;1
sentimento ranço;0;1
grande ranço;0;1
grande amigo;1;0
bucho;1;0
PORTEIRO DE CABARÉ;0;1
considera justa;1;0
eram obrigados;0;1
explusão;0;1
expulsos;0;1
falido;0;1
cu do mundo;0;1
lidera;1;0
liderar;1;0
fora do páreo;0;1
terra sem lei;0;1
punição;1;0
Não é possível;0;1
não tem noção;0;1
imagina isso;0;1
Esquema;0;1
Rivotryl;0;1
em excesso;0;1
verdade;1;0
presidente;1;0
meu presidente;1;0
para presidente;1;0
PUTA QUE PARIU;0;1
Também tenho essa confiança em Deus e na Sua justiça!;1;0
Que depois de tanto sofrimento, tanta falta de respeito com o…;0;1
JÁ PASSOU DA HORA DESSA FILHA DA PUTA IR;0;1
Mais importante ainda o próximo presidente ser escolhido com muita cautela.;1;0
Quem votou na Dilma não tava batendo panela nas varandas gourmet ou vestido de pato na rua.;0;1
Que vergonha vc foi.;0;1
Bandido, condenado quer espaço na tv mais feliz do Brasil?;0;1
Quem quer que seja do PT que apareça como uma opção caso Lula não possa concorrer, vai ser bombardeado.;0;1
OS DEFENSORES DO BRASIL;1;0
ESTES BANDIDOS...;0;1
ELES NÃO MERECEM;0;1
Parabéns a todos os imbecis que apoiaram o golpe contra Dilma Rousseff...;0;1
"Sou mulher"" eu já sei que é fake, mas quando a pessoa coloca ""Sou mulher e sou Bolso…";0;1
Atibaia pode render pena maior que o Triplex para Lula;0;1
A lei é para todos: Azeredo preso a 1 km de sua casa e Lula a 430 km de São Bernardo.;0;1
Pena que privatizar a Petrobras nem passa pela cabeça do Bolsonaro, afinal o petróleo é nosso, né Não?;0;1
Tem gente que é engraçado.;0;1
O PT e a corja de Lula passaram 15 anos sugando a alma da Petrobras e a culpa dessa cris…;0;1
Fico vendo os status e me perguntando pq moro tão longe de Cf Deus;0;1
BOM DIA ELEITORES;1;0
"Minha Distinta ""Irmâ""...assim lhe tenho chamado;";1;0
O HITLER...;0;1
As ações, o jeito LOUCO, aquele CABEÇO ENSEBADO, OLEOSO....;0;1
DE QUEM É GÊNIO…;1;0
Tô pra achar um repórter que seja honesto com bolsonaro !;1;0
Para quem vomita quando está perto de morador de rua, algo diferente de se esperar?;0;1
UM BRASIL LIMPO...;1;0
"""Eu vi a população virar as costas pra Dilma.";0;1
País de terceiro mundo...;0;1
Aparentemente Manuela vai usar a tática de roubar meu coração tal qual Lula também;1;0
Moro é responsável pelas mentiras do MPF sobre o triplex - Blog da Cidadania;0;1
CIRO GOMES, ELE MORDE E SOPRA.;0;1
Bolsonaro nesses filhos das putas!;0;1
E nessa imprensa ordinária escrota.;0;1
"Os erros e acertos de Guilherme Boulos em entrevista ao ""Roda Viva"" \\ RODA MORTA SEM AUGUSTO..!";0;1
"""Bolsonaro e PT são a mesma coisa, corporativismo puro"", diz Alckmin | Consultoria Eleitoral";0;1
Aquela galera que não alcança nem 1% nas intenções de voto:;0;1
Assumiu via Tapetão.;0;1
O povo trabalhador desse país quer Lula presidente....;0;1
minha amiga me marcou em uma festa na acustica.;1;0
Ainda tem quem vote nesse traste!;0;1
#bolsobosta;0;1
Pra fechar com chave de ouro, deveriam mandar Temer tomar no cu, equilibrando o universo, Dilma já…;0;1
Lindomar recebe apoio de Bolsonaro...;1;0
Isso que dá na pessoa.;0;1
Toma muita porrada na cabeça e quanto menos QI te…;0;1
Apoiar Ciro é mais arriscado do que praticar roleta russa.;0;1
Bolsomico sendo Bolsomico!!!;0;1
"""Quem nunca deu um tapa no bumbum do filho e se arrependeu?";0;1
Não adianta a gente se enganar, Lula não será candidato, diz Camilo Santana via;0;1
semana passada eu dei um tapinha na fralda do meu filho pq ele não queria dormir e já eram 5h da manhã, que segundo…;0;1
Geisel malvadão!;0;1
E a trama contra Bolsonaro e os militares!;0;1
Como um acéfalo desses quer ser presidente?;0;1
Na mente dele a CIA arquivaria um relatório de um agente que ouviu atrá…;1;1
O argumento de Bozonaro é o mesmo desses jumentos aqui: , , _VillasBoas,…;0;1
"""Eu lamento muito que eu tenha sido a única candidata ao lado do Lula em seus julgamento em Porto Alegre.";1;1
Pior do que o Bolsonaro, só seus fãs.;0;1
Compram de forma cega suas ideias.;0;1
Em nenhum.;0;1
Falta legitimidade democrática ao STF para ignorar ou suprimir texto e respectiva norma protetiva da liberdade que…;0;1
Sai daqui, maldito;0;1
Maravilloso!;1;0
Engraçado que todo mundo sabe o que aconteceu no regime militar.;0;1
Até os terroristas da época se assumem.;0;1
Isso é tudo manipulado;0;1
O cara publicamente defende danos ao patrimônio público e privado.;0;1
Gostei de um vídeo;1;0
do UFC fica IRRITADO e manda recado ao Bolsonaro AO VIVO!!;0;1
Chega doer meus ouvidos ouvindo meu cunhado falar do Bolsonaro;0;1
Não tô acreditando que tem um outdoor na água boa pro bolsonaro, nossa que desgosto, aquela vergonha alheia!!;0;1
apoiar a PM não te transforma automaticamente em apoiador do Bolsonaro, tá?;1;1
Ele Mita Mesmo !!!;1;0
O lula é um bosta apoiado por merdas!;0;1
Lula livre,Lula presidente! !;1;0
